query,run,routing_ms,retrieval_ms,reranking_ms,total_pipeline_ms,top_original_rank,top_reranker_score,evidence_score,decision
What is diabetes?,1,0.2,472.68,183.22,656.1,2,0.9186412692070007,0.9186412692070007,GENERATE
What is diabetes?,2,0.19,456.71,148.82,605.72,2,0.9186412692070007,0.9186412692070007,GENERATE
What is diabetes?,3,0.2,490.26,177.71,668.17,2,0.9186412692070007,0.9186412692070007,GENERATE
What is anemia?,1,0.18,352.01,145.05,497.24,1,8.912025451660156,8.912025451660156,GENERATE
What is anemia?,2,0.13,354.58,158.22,512.93,1,8.912025451660156,8.912025451660156,GENERATE
What is anemia?,3,0.17,387.39,148.89,536.45,1,8.912025451660156,8.912025451660156,GENERATE
What causes high blood pressure?,1,0.2,390.21,124.49,514.9,1,5.473560333251953,5.473560333251953,GENERATE
What causes high blood pressure?,2,0.2,356.44,129.52,486.16,1,5.473560333251953,5.473560333251953,GENERATE
What causes high blood pressure?,3,0.21,363.86,149.0,513.06,1,5.473560333251953,5.473560333251953,GENERATE
What are the symptoms of asthma?,1,0.21,405.62,146.33,552.17,6,4.42350435256958,4.42350435256958,GENERATE
What are the symptoms of asthma?,2,0.2,358.51,163.26,521.97,6,4.42350435256958,4.42350435256958,GENERATE
What are the symptoms of asthma?,3,0.2,365.2,138.64,504.04,6,4.42350435256958,4.42350435256958,GENERATE
What complications can untreated diabetes cause?,1,0.2,460.73,178.79,639.72,1,5.4771623611450195,5.4771623611450195,GENERATE
What complications can untreated diabetes cause?,2,0.22,460.98,188.11,649.32,1,5.4771623611450195,5.4771623611450195,GENERATE
What complications can untreated diabetes cause?,3,0.26,371.32,165.19,536.77,1,5.4771623611450195,5.4771623611450195,GENERATE
How is anemia diagnosed?,1,0.23,355.27,176.26,531.76,2,3.3782052993774414,3.3782052993774414,GENERATE
How is anemia diagnosed?,2,0.19,351.74,153.46,505.4,2,3.3782052993774414,3.3782052993774414,GENERATE
How is anemia diagnosed?,3,0.2,452.24,157.03,609.48,2,3.3782052993774414,3.3782052993774414,GENERATE
What is hypoglycemia?,1,0.21,357.86,174.59,532.66,1,3.6846261024475098,3.6846261024475098,GENERATE
What is hypoglycemia?,2,0.19,379.48,197.01,576.69,1,3.6846261024475098,3.6846261024475098,GENERATE
What is hypoglycemia?,3,0.19,356.14,177.4,533.73,1,3.6846261024475098,3.6846261024475098,GENERATE
What are the symptoms of appendicitis?,1,0.19,356.94,211.68,568.81,1,8.472455024719238,8.472455024719238,GENERATE
What are the symptoms of appendicitis?,2,0.25,366.28,198.23,564.75,1,8.472455024719238,8.472455024719238,GENERATE
What are the symptoms of appendicitis?,3,0.23,399.9,171.31,571.44,1,8.472455024719238,8.472455024719238,GENERATE
