query,category,expected,actual,passed,routing_ms,retrieval_ms,reranking_ms,total_pipeline_ms,top_original_rank,max_dense_score,top_candidate_dense_score,top_reranker_score,evidence_score
What is diabetes?,supported_medical,GENERATE,GENERATE,True,1.46,1605.12,392.13,1998.72,2,0.616226196,0.56507355,0.9186412692070007,0.9186412692070007
What is anemia?,supported_medical,GENERATE,GENERATE,True,0.2,382.13,186.26,568.6,1,0.846787453,0.846787453,8.912025451660156,8.912025451660156
What causes high blood pressure?,supported_medical,GENERATE,GENERATE,True,0.2,390.02,168.55,558.77,1,0.618191719,0.618191719,5.473560333251953,5.473560333251953
What are the symptoms of asthma?,supported_medical,GENERATE,GENERATE,True,0.22,352.87,172.06,525.15,6,0.67201525,0.570508957,4.42350435256958,4.42350435256958
What complications can untreated diabetes cause?,supported_medical,GENERATE,GENERATE,True,0.25,418.03,228.04,646.32,1,0.667984903,0.667984903,5.4771623611450195,5.4771623611450195
How is anemia diagnosed?,supported_medical,GENERATE,GENERATE,True,0.19,371.49,191.73,563.4,2,0.690853119,0.688299179,3.3782052993774414,3.3782052993774414
What is hypoglycemia?,supported_medical,GENERATE,GENERATE,True,0.2,394.71,193.32,588.23,1,0.562988698,0.562988698,3.6846261024475098,3.6846261024475098
What are the symptoms of appendicitis?,supported_medical,GENERATE,GENERATE,True,0.23,415.48,163.19,578.91,1,0.724113,0.724113,8.472455024719238,8.472455024719238
What is pneumonia?,supported_medical,GENERATE,ABSTAIN,False,0.22,385.41,187.08,572.71,8,0.564434588,0.46451956,-2.6266512870788574,0.0
What causes pneumonia?,supported_medical,GENERATE,GENERATE,True,0.22,387.22,195.39,582.84,7,0.550491333,0.496917725,1.3967528343200684,1.3967528343200684
What is bronchitis?,supported_medical,GENERATE,GENERATE,True,0.26,342.2,196.33,538.79,1,0.816823,0.816823,7.946907043457031,7.946907043457031
What is arthritis?,supported_medical,GENERATE,GENERATE,True,0.21,341.43,260.65,602.3,3,0.722833633,0.598199785,1.8649365901947021,1.8649365901947021
What is migraine?,supported_medical,GENERATE,GENERATE,True,0.24,386.27,221.0,607.51,1,0.613319397,0.613319397,1.1369612216949463,1.1369612216949463
What causes migraines?,supported_medical,GENERATE,GENERATE,True,0.21,349.16,221.8,571.18,1,0.664506912,0.664506912,4.723590850830078,4.723590850830078
What is osteoporosis?,supported_medical,GENERATE,GENERATE,True,0.22,386.88,199.8,586.9,2,0.674986839,0.655267239,5.33123779296875,5.33123779296875
What is epilepsy?,supported_medical,GENERATE,GENERATE,True,0.22,364.09,180.83,545.14,4,0.588083327,0.530288756,6.00142765045166,6.00142765045166
What is hepatitis?,supported_medical,GENERATE,GENERATE,True,0.2,376.27,182.15,558.62,1,0.481785804,0.481785804,1.3960120677947998,1.3960120677947998
