query,run,routing_ms,retrieval_ms,reranking_ms,total_pipeline_ms,top_original_rank,top_reranker_score,evidence_score,decision
What is diabetes?,1,0.14,464.2,183.22,647.56,2,0.9186412692070007,0.7574610531330108,GENERATE
What is diabetes?,2,0.18,455.9,201.67,657.75,2,0.9186412692070007,0.7574610531330108,GENERATE
What is diabetes?,3,0.18,383.09,166.89,550.17,2,0.9186412692070007,0.7574610531330108,GENERATE
What is anemia?,1,0.2,412.41,137.29,549.91,1,8.912025451660156,7.518507003784179,GENERATE
What is anemia?,2,0.19,458.6,196.04,654.82,1,8.912025451660156,7.518507003784179,GENERATE
What is anemia?,3,0.17,396.0,222.45,618.62,1,8.912025451660156,7.518507003784179,GENERATE
What causes high blood pressure?,1,0.45,399.79,184.0,584.24,1,5.473560333251953,5.104096412658691,GENERATE
What causes high blood pressure?,2,0.19,370.64,134.69,505.51,1,5.473560333251953,5.104096412658691,GENERATE
What causes high blood pressure?,3,0.24,348.58,160.47,509.29,1,5.473560333251953,5.104096412658691,GENERATE
What are the symptoms of asthma?,1,0.19,354.67,138.99,493.85,6,4.42350435256958,3.8793214797973627,GENERATE
What are the symptoms of asthma?,2,0.23,352.7,162.32,515.24,6,4.42350435256958,3.8793214797973627,GENERATE
What are the symptoms of asthma?,3,0.17,423.81,167.5,591.48,6,4.42350435256958,3.8793214797973627,GENERATE
What complications can untreated diabetes cause?,1,0.19,350.18,174.12,524.49,1,5.4771623611450195,3.8340136528015134,GENERATE
What complications can untreated diabetes cause?,2,0.22,354.05,186.49,540.76,1,5.4771623611450195,3.8340136528015134,GENERATE
What complications can untreated diabetes cause?,3,0.24,417.61,176.28,594.13,1,5.4771623611450195,3.8340136528015134,GENERATE
How is anemia diagnosed?,1,0.18,363.74,150.47,514.38,2,3.3782052993774414,2.9083117842674255,GENERATE
How is anemia diagnosed?,2,0.23,367.41,152.69,520.32,2,3.3782052993774414,2.9083117842674255,GENERATE
How is anemia diagnosed?,3,0.2,486.55,169.61,656.36,2,3.3782052993774414,2.9083117842674255,GENERATE
What is hypoglycemia?,1,0.22,453.54,197.74,651.49,1,3.6846261024475098,3.2628877878189084,GENERATE
What is hypoglycemia?,2,0.19,377.22,191.07,568.48,1,3.6846261024475098,3.2628877878189084,GENERATE
What is hypoglycemia?,3,0.19,395.92,194.61,590.72,1,3.6846261024475098,3.2628877878189084,GENERATE
What are the symptoms of appendicitis?,1,0.18,357.84,187.42,545.45,1,8.472455024719238,8.406850910186767,GENERATE
What are the symptoms of appendicitis?,2,0.2,368.07,166.82,535.1,1,8.472455024719238,8.406850910186767,GENERATE
What are the symptoms of appendicitis?,3,0.21,362.43,162.86,525.5,1,8.472455024719238,8.406850910186767,GENERATE
