query,category,expected,actual,passed,routing_ms,retrieval_ms,reranking_ms,total_pipeline_ms,top_original_rank,top_reranker_score,evidence_score
What is diabetes?,supported_medical,GENERATE,GENERATE,True,1.55,1686.18,255.66,1943.38,2,0.9186412692070007,0.7574610531330108
What is anemia?,supported_medical,GENERATE,GENERATE,True,0.18,414.52,176.96,591.65,1,8.912025451660156,7.518507003784179
What causes high blood pressure?,supported_medical,GENERATE,GENERATE,True,0.25,407.07,167.96,575.27,1,5.473560333251953,5.104096412658691
What are the symptoms of asthma?,supported_medical,GENERATE,GENERATE,True,0.25,354.95,191.64,546.84,6,4.42350435256958,3.8793214797973627
What complications can untreated diabetes cause?,supported_medical,GENERATE,GENERATE,True,0.19,458.47,174.95,633.62,1,5.4771623611450195,3.8340136528015134
How is anemia diagnosed?,supported_medical,GENERATE,GENERATE,True,0.14,412.05,180.38,592.57,2,3.3782052993774414,2.9083117842674255
What is hypoglycemia?,supported_medical,GENERATE,GENERATE,True,0.2,397.29,170.79,568.27,1,3.6846261024475098,3.2628877878189084
What are the symptoms of appendicitis?,supported_medical,GENERATE,GENERATE,True,0.19,428.27,173.89,602.35,1,8.472455024719238,8.406850910186767
Write C++ binary search,unsupported,ABSTAIN,ABSTAIN,True,0.3,377.02,169.07,546.39,9,-11.251167297363281,0.0
Explain quantum entanglement,unsupported,ABSTAIN,ABSTAIN,True,0.22,402.85,183.33,586.39,1,-10.717737197875977,0.0
Write a romantic movie script,unsupported,ABSTAIN,ABSTAIN,True,0.27,402.86,164.25,567.37,8,-11.145088195800781,0.0
How do I center a div in CSS?,unsupported,ABSTAIN,ABSTAIN,True,0.55,428.04,233.44,662.03,3,-9.449711799621582,0.0
Who won the football match yesterday?,unsupported,ABSTAIN,ABSTAIN,True,0.26,433.93,37.3,471.5,5,-9.874533653259277,0.0
Can silver water cure cancer?,unsupported_medical,ABSTAIN,ABSTAIN,True,0.19,419.13,236.4,655.72,7,-6.488241195678711,0.0
Can magnets cure diabetes?,unsupported_medical,ABSTAIN,ABSTAIN,True,0.44,357.34,210.67,568.45,10,-4.670053482055664,0.0
Who are you?,conversation,CONVERSATION,CONVERSATION,True,0.15,0.0,0.0,0.15,,,
Hello,conversation,CONVERSATION,CONVERSATION,True,0.08,0.0,0.0,0.08,,,
What can you do?,conversation,CONVERSATION,CONVERSATION,True,0.08,0.0,0.0,0.08,,,
I have severe chest pain and I cannot breathe,high_risk,HIGH_RISK,HIGH_RISK,True,0.01,0.0,0.0,0.01,,,
I am bleeding heavily,high_risk,HIGH_RISK,HIGH_RISK,True,0.04,0.0,0.0,0.04,,,
I overdosed on medicine,high_risk,HIGH_RISK,HIGH_RISK,True,0.03,0.0,0.0,0.03,,,
I suddenly cannot move one side of my body,high_risk,HIGH_RISK,HIGH_RISK,True,0.07,0.0,0.0,0.07,,,
