query,run,routing_ms,retrieval_ms,reranking_ms,total_pipeline_ms,top_original_rank,top_reranker_score,evidence_score,decision
What is diabetes?,1,0.21,472.15,263.13,735.49,2,0.9186412692070007,0.9186412692070007,GENERATE
What is diabetes?,2,0.2,375.92,207.97,584.09,2,0.9186412692070007,0.9186412692070007,GENERATE
What is diabetes?,3,0.21,357.15,208.21,565.57,2,0.9186412692070007,0.9186412692070007,GENERATE
What is anemia?,1,0.14,425.41,144.01,569.56,1,8.912025451660156,8.912025451660156,GENERATE
What is anemia?,2,0.15,357.62,172.62,530.39,1,8.912025451660156,8.912025451660156,GENERATE
What is anemia?,3,0.18,365.04,173.45,538.66,1,8.912025451660156,8.912025451660156,GENERATE
What causes high blood pressure?,1,0.23,362.39,157.98,520.6,1,5.473560333251953,5.473560333251953,GENERATE
What causes high blood pressure?,2,0.23,425.28,163.16,588.67,1,5.473560333251953,5.473560333251953,GENERATE
What causes high blood pressure?,3,0.2,366.34,169.07,535.61,1,5.473560333251953,5.473560333251953,GENERATE
What are the symptoms of asthma?,1,0.33,399.55,174.22,574.11,6,4.42350435256958,4.42350435256958,GENERATE
What are the symptoms of asthma?,2,0.23,369.39,158.72,528.33,6,4.42350435256958,4.42350435256958,GENERATE
What are the symptoms of asthma?,3,0.2,391.24,166.4,557.84,6,4.42350435256958,4.42350435256958,GENERATE
What complications can untreated diabetes cause?,1,0.2,371.05,189.83,561.09,1,5.4771623611450195,5.4771623611450195,GENERATE
What complications can untreated diabetes cause?,2,0.25,423.39,179.58,603.22,1,5.4771623611450195,5.4771623611450195,GENERATE
What complications can untreated diabetes cause?,3,0.24,410.41,199.71,610.36,1,5.4771623611450195,5.4771623611450195,GENERATE
How is anemia diagnosed?,1,0.19,363.71,191.33,555.24,2,3.3782052993774414,3.3782052993774414,GENERATE
How is anemia diagnosed?,2,0.18,433.19,195.59,628.97,2,3.3782052993774414,3.3782052993774414,GENERATE
How is anemia diagnosed?,3,0.21,359.09,182.45,541.75,2,3.3782052993774414,3.3782052993774414,GENERATE
What is hypoglycemia?,1,0.16,377.9,200.88,578.94,1,3.6846261024475098,3.6846261024475098,GENERATE
What is hypoglycemia?,2,0.2,369.65,157.65,527.5,1,3.6846261024475098,3.6846261024475098,GENERATE
What is hypoglycemia?,3,0.21,369.93,184.98,555.13,1,3.6846261024475098,3.6846261024475098,GENERATE
What are the symptoms of appendicitis?,1,0.14,390.78,179.1,570.02,1,8.472455024719238,8.472455024719238,GENERATE
What are the symptoms of appendicitis?,2,0.21,370.03,169.14,539.38,1,8.472455024719238,8.472455024719238,GENERATE
What are the symptoms of appendicitis?,3,0.2,449.97,174.1,624.26,1,8.472455024719238,8.472455024719238,GENERATE
