query,run,routing_ms,retrieval_ms,reranking_ms,total_pipeline_ms,top_original_rank,max_dense_score,top_candidate_dense_score,top_reranker_score,evidence_score,decision
What is diabetes?,1,0.16,362.75,196.37,559.28,2,0.616226196,0.56507355,0.9186412692070007,0.9186412692070007,GENERATE
What is diabetes?,2,0.18,383.95,175.7,559.83,2,0.616226196,0.56507355,0.9186412692070007,0.9186412692070007,GENERATE
What is diabetes?,3,0.19,431.09,180.22,611.5,2,0.616226196,0.56507355,0.9186412692070007,0.9186412692070007,GENERATE
What is anemia?,1,0.17,374.68,152.94,527.79,1,0.846787453,0.846787453,8.912025451660156,8.912025451660156,GENERATE
What is anemia?,2,0.19,393.29,156.3,549.78,1,0.846787453,0.846787453,8.912025451660156,8.912025451660156,GENERATE
What is anemia?,3,0.18,367.91,170.98,539.07,1,0.846787453,0.846787453,8.912025451660156,8.912025451660156,GENERATE
What causes high blood pressure?,1,0.2,408.64,147.95,556.79,1,0.618191719,0.618191719,5.473560333251953,5.473560333251953,GENERATE
What causes high blood pressure?,2,0.21,387.05,132.97,520.22,1,0.618191719,0.618191719,5.473560333251953,5.473560333251953,GENERATE
What causes high blood pressure?,3,0.24,386.26,140.14,526.64,1,0.618191719,0.618191719,5.473560333251953,5.473560333251953,GENERATE
What are the symptoms of asthma?,1,0.22,370.04,160.26,530.52,6,0.67201525,0.570508957,4.42350435256958,4.42350435256958,GENERATE
What are the symptoms of asthma?,2,0.19,372.13,152.59,524.92,6,0.67201525,0.570508957,4.42350435256958,4.42350435256958,GENERATE
What are the symptoms of asthma?,3,0.19,348.59,145.1,493.88,6,0.67201525,0.570508957,4.42350435256958,4.42350435256958,GENERATE
What complications can untreated diabetes cause?,1,0.22,366.49,169.78,536.49,1,0.667984903,0.667984903,5.4771623611450195,5.4771623611450195,GENERATE
What complications can untreated diabetes cause?,2,0.21,477.95,165.98,644.13,1,0.667984903,0.667984903,5.4771623611450195,5.4771623611450195,GENERATE
What complications can untreated diabetes cause?,3,0.23,454.79,167.63,622.65,1,0.667984903,0.667984903,5.4771623611450195,5.4771623611450195,GENERATE
How is anemia diagnosed?,1,0.2,469.41,171.65,641.26,2,0.690853119,0.688299179,3.3782052993774414,3.3782052993774414,GENERATE
How is anemia diagnosed?,2,0.15,349.19,175.38,524.71,2,0.690853119,0.688299179,3.3782052993774414,3.3782052993774414,GENERATE
How is anemia diagnosed?,3,0.14,367.4,187.89,555.43,2,0.690853119,0.688299179,3.3782052993774414,3.3782052993774414,GENERATE
What is hypoglycemia?,1,0.13,423.06,193.22,616.4,1,0.562988698,0.562988698,3.6846261024475098,3.6846261024475098,GENERATE
What is hypoglycemia?,2,0.21,388.06,176.94,565.21,1,0.562988698,0.562988698,3.6846261024475098,3.6846261024475098,GENERATE
What is hypoglycemia?,3,0.2,394.74,184.54,579.48,1,0.562988698,0.562988698,3.6846261024475098,3.6846261024475098,GENERATE
What are the symptoms of appendicitis?,1,0.18,385.99,149.64,535.81,1,0.724113,0.724113,8.472455024719238,8.472455024719238,GENERATE
What are the symptoms of appendicitis?,2,0.16,405.42,174.87,580.45,1,0.724113,0.724113,8.472455024719238,8.472455024719238,GENERATE
What are the symptoms of appendicitis?,3,0.2,389.33,173.54,563.07,1,0.724113,0.724113,8.472455024719238,8.472455024719238,GENERATE
